clusters_sub	cell_types
ASGR1pos310_6_109	11	Hepatocytes
ASGR1pos310_6_110	11	Hepatocytes
ASGR1pos310_6_112	11	Hepatocytes
ASGR1pos310_6_113	11	Hepatocytes
ASGR1pos310_6_114	14	Hepatocytes
ASGR1pos310_6_117	11	Hepatocytes
ASGR1pos310_6_118	11	Hepatocytes
ASGR1pos310_6_119	11	Hepatocytes
ASGR1pos310_6_120	11	Hepatocytes
ASGR1pos310_6_122	17	Hepatocytes
ASGR1pos310_6_124	11	Hepatocytes
ASGR1pos310_6_127	11	Hepatocytes
ASGR1pos310_6_129	11	Hepatocytes
ASGR1pos310_6_130	11	Hepatocytes
ASGR1pos310_6_131	11	Hepatocytes
ASGR1pos310_6_132	17	Hepatocytes
ASGR1pos310_6_135	11	Hepatocytes
ASGR1pos310_6_138	11	Hepatocytes
ASGR1pos310_6_143	11	Hepatocytes
ASGR1pos310_6_144	11	Hepatocytes
ASGR1pos310_6_146	14	Hepatocytes
ASGR1pos310_6_149	14	Hepatocytes
ASGR1pos310_6_151	11	Hepatocytes
ASGR1pos310_6_156	11	Hepatocytes
ASGR1pos310_6_158	14	Hepatocytes
ASGR1pos310_6_160	11	Hepatocytes
ASGR1pos310_6_161	11	Hepatocytes
ASGR1pos310_6_162	11	Hepatocytes
ASGR1pos310_6_168	11	Hepatocytes
ASGR1pos310_6_169	11	Hepatocytes
ASGR1pos310_6_170	11	Hepatocytes
ASGR1pos310_6_172	11	Hepatocytes
ASGR1pos310_6_173	14	Hepatocytes
ASGR1pos310_6_174	11	Hepatocytes
ASGR1pos310_6_175	11	Hepatocytes
ASGR1pos310_6_176	11	Hepatocytes
ASGR1pos310_6_177	11	Hepatocytes
ASGR1pos310_6_179	11	Hepatocytes
ASGR1pos310_6_180	11	Hepatocytes
ASGR1pos310_6_182	11	Hepatocytes
ASGR1pos310_6_183	11	Hepatocytes
ASGR1pos310_6_186	11	Hepatocytes
ASGR1pos310_6_188	11	Hepatocytes
ASGR1pos310_6_189	11	Hepatocytes
ASGR1pos310_6_190	11	Hepatocytes
ASGR1pos310_6_191	11	Hepatocytes
ASGR1pos310_7_1	11	Hepatocytes
ASGR1pos310_7_3	11	Hepatocytes
ASGR1pos310_7_5	11	Hepatocytes
ASGR1pos310_7_7	11	Hepatocytes
ASGR1pos310_7_8	11	Hepatocytes
ASGR1pos310_7_10	11	Hepatocytes
ASGR1pos310_7_11	11	Hepatocytes
ASGR1pos310_7_12	11	Hepatocytes
ASGR1pos310_7_14	11	Hepatocytes
ASGR1pos310_7_15	11	Hepatocytes
ASGR1pos310_7_16	11	Hepatocytes
ASGR1pos310_7_17	11	Hepatocytes
ASGR1pos310_7_18	11	Hepatocytes
ASGR1pos310_7_19	11	Hepatocytes
ASGR1pos310_7_21	11	Hepatocytes
ASGR1pos310_7_22	11	Hepatocytes
ASGR1pos310_7_23	11	Hepatocytes
ASGR1pos310_7_27	11	Hepatocytes
ASGR1pos310_7_28	17	Hepatocytes
ASGR1pos310_7_29	11	Hepatocytes
ASGR1pos310_7_30	11	Hepatocytes
ASGR1pos310_7_32	17	Hepatocytes
ASGR1pos310_7_34	11	Hepatocytes
ASGR1pos310_7_35	11	Hepatocytes
ASGR1pos310_7_36	11	Hepatocytes
ASGR1pos310_7_37	11	Hepatocytes
ASGR1pos310_7_38	11	Hepatocytes
ASGR1pos310_7_42	11	Hepatocytes
ASGR1pos310_7_43	11	Hepatocytes
ASGR1pos310_7_44	11	Hepatocytes
ASGR1pos310_7_45	11	Hepatocytes
ASGR1pos310_7_48	11	Hepatocytes
ASGR1pos310_7_49	17	Hepatocytes
ASGR1pos310_7_50	11	Hepatocytes
